Configuration,NDCG@10,MRR@10,Recall@50,Latency_ms
Hybrid (BM25 + FAISS),0.34546513647490185,0.33878174603174604,0.07346480687048976,96.6291618347168
Hybrid + CrossEncoder,0.3891743426480137,0.3764793650793651,0.07346480687048976,228.76971530914307
